Enlace,Titulo
https://datos.sonora.gob.mx/dataset/Recursos%20H%C3%ADdricos/resource/f2333c5e-26ea-47c8-93ee-fda5e9106672,Datos hídricos 1941-1949
https://datos.sonora.gob.mx/dataset/Recursos%20H%C3%ADdricos/resource/8826c8a0-75f2-49b0-bf48-907b57c3495d,Datos hídricos 1950-1959
https://datos.sonora.gob.mx/dataset/Recursos%20H%C3%ADdricos/resource/4d1bb645-19da-407f-8182-b0be2d7b7485,Datos hídricos 1960-1969
https://datos.sonora.gob.mx/dataset/Recursos%20H%C3%ADdricos/resource/c05fe66a-bdeb-4d53-ba93-beb315b98901,Datos hídricos 1970-1979
https://datos.sonora.gob.mx/dataset/Recursos%20H%C3%ADdricos/resource/ffe3c845-1fc7-4a6c-ab21-3a1db1740fdd,Datos hídricos 1980-1989
https://datos.sonora.gob.mx/dataset/Recursos%20H%C3%ADdricos/resource/fabf0415-7c55-4b01-948f-5cedfb58d4b3,Datos hídricos 1990-1999
https://datos.sonora.gob.mx/dataset/Recursos%20H%C3%ADdricos/resource/458d5daa-d0d1-452d-9524-5ef871f7cbe9,Datos hídricos 2000-2009
https://datos.sonora.gob.mx/dataset/Recursos%20H%C3%ADdricos/resource/43780905-3659-40c2-808d-471775de7664,Datos hídricos 2010-2019
https://datos.sonora.gob.mx/dataset/Recursos%20H%C3%ADdricos/resource/213a4f46-7cd1-412f-aeec-4fab8193f51f,Datos hídricos 2020-2024
https://datos.sonora.gob.mx/dataset/Recursos%20H%C3%ADdricos/resource/ca5574f0-d59d-4fc1-a52f-5c533b2abf82,Diccionario
https://datos.sonora.gob.mx/dataset/Recursos%20H%C3%ADdricos/resource/f5060479-ee16-49b5-99d4-09aabef8042e,Catalogo
