Clave,Presa,Nombre_comun,Estado,Municipio,Rio,Latitud,Longitud,Altitud
LCDSO,Lazaro Cardenas,La Angostura, Sonora, Nacozari de Garcia,Rio Yaqui,30,-109,860
PECSO,Plutarco Elias Calles,El Novillo, Sonora, Soyopa,Rio Yaqui,29,-110,2110
AOBSO,Alvaro Obregon,Oviachic, Sonora, Cajeme,Rio Yaqui,28,-110,116
AGZCH,Abraham Gonzalez,Guadalupe, Chihuahua, Guerrero,Otros,28,-107,2020
ARCSO,Adolfo Ruiz Cortines,Mocuzari, Sonora, Alamos,Rio Mayo,27,-109,148
PMOSO,Ing. Rodolfo Felix Valdes,El Molinito, Sonora, Hermosillo,Rio Sonora,29,-111,321
ARLSO,Abelardo Rodriguez Lujan,Hermosillo, Sonora, Hermosillo,Rio Sonora,29,-111,230
CHTSO,Cuauhtemoc,Santa Teresa, Sonora, Tubutama,Otros,31,-112,590
IRASO,Ignacio R. Alatorre,Punta de Agua, Sonora, Guaymas,Otros,28,-110,245
BICSO,Bicentenario,Los Pilares,Sonora,Alamos,Rio Mayo,27,-109,164
